OBJECTID;Codigo Municipio;Nombre Municipio;Nombre Departamento;Valor Riesgo CC;Riesgo CC;Vulnerabilidad Vs Amenaza;Area Ha;Simbologia;st_area(shape);st_length(shape)
227;15514;PÁEZ;BOYACÁ;0.138120;Muy bajo;2;35199.378356;Muy bajo2;0.028697;0.881152
228;15516;PAIPA;BOYACÁ;0.200414;Medio;13;31652.108013;Medio3;0.025838;1.070851
229;15518;PAJARITO;BOYACÁ;0.166488;Bajo;7;32235.276016;Bajo2;0.026286;0.882091
230;15476;MOTAVITA;BOYACÁ;0.170605;Bajo;8;5980.573146;Bajo3;0.004881;0.352211
231;15491;NOBSA;BOYACÁ;0.221818;Medio;14;5474.371715;Medio4;0.004468;0.337105
232;15104;BOYACÁ;BOYACÁ;0.206704;Medio;13;4724.418802;Medio3;0.003854;0.328278
233;15106;BRICEÑO;BOYACÁ;0.150570;Muy bajo;4;6570.861505;Muy bajo4;0.005364;0.461456
234;15131;CALDAS;BOYACÁ;0.156180;Muy bajo;5;7917.297651;Muy bajo5;0.006462;0.386293
235;15135;CAMPOHERMOSO;BOYACÁ;0.135553;Muy bajo;2;30250.431552;Muy bajo2;0.024661;0.841488
236;15162;CERINZA;BOYACÁ;0.164570;Bajo;6;6387.649308;Bajo1;0.005215;0.326224
237;15172;CHINAVITA;BOYACÁ;0.167596;Bajo;7;13637.240599;Bajo2;0.011122;0.514017
238;15176;CHIQUINQUIRÁ;BOYACÁ;0.164819;Bajo;7;16652.224322;Bajo2;0.013592;0.845351
239;15180;CHISCAS;BOYACÁ;0.160250;Muy bajo;5;66581.731668;Muy bajo5;0.054407;1.243412
240;15183;CHITA;BOYACÁ;0.142944;Muy bajo;3;68665.276253;Muy bajo3;0.056047;1.365710
241;15185;CHITARAQUE;BOYACÁ;0.158170;Muy bajo;5;15442.138144;Muy bajo5;0.012611;0.520424
242;15816;TOGÜÍ;BOYACÁ;0.136013;Muy bajo;2;11544.314657;Muy bajo2;0.009427;0.503858
243;15187;CHIVATÁ;BOYACÁ;0.177189;Bajo;10;4927.130669;Bajo5;0.004020;0.416513
244;15189;CIÉNEGA;BOYACÁ;0.155498;Muy bajo;5;5397.631404;Muy bajo5;0.004403;0.376630
245;15494;NUEVO COLÓN;BOYACÁ;0.131134;Muy bajo;2;5154.293694;Muy bajo2;0.004205;0.349313
246;15204;CÓMBITA;BOYACÁ;0.149774;Muy bajo;4;14529.383219;Muy bajo4;0.011859;0.680100
247;15212;COPER;BOYACÁ;0.163349;Bajo;6;14924.518060;Bajo1;0.012178;0.640495
248;15820;TÓPAGA;BOYACÁ;0.157015;Muy bajo;5;3381.626095;Muy bajo5;0.002760;0.269810
249;15218;COVARACHÍA;BOYACÁ;0.154795;Muy bajo;5;10246.367888;Muy bajo5;0.008372;0.480656
250;15215;CORRALES;BOYACÁ;0.151565;Muy bajo;4;6200.948711;Muy bajo4;0.005061;0.395372
251;15223;CUBARÁ;BOYACÁ;0.160736;Bajo;6;118051.330679;Bajo1;0.096479;1.837001
252;15232;CHÍQUIZA;BOYACÁ;0.145836;Muy bajo;3;11473.383373;Muy bajo3;0.009364;0.489408
253;15236;CHIVOR;BOYACÁ;0.137909;Muy bajo;2;10897.420131;Muy bajo2;0.008883;0.543610
254;15238;DUITAMA;BOYACÁ;0.178339;Bajo;10;23400.243798;Bajo5;0.019103;0.926557
255;15244;EL COCUY;BOYACÁ;0.128907;Muy bajo;2;23729.871027;Muy bajo2;0.019378;0.737287
256;15832;TUNUNGUÁ;BOYACÁ;0.141872;Muy bajo;2;2919.601454;Muy bajo2;0.002383;0.242324
257;15248;EL ESPINO;BOYACÁ;0.157016;Muy bajo;5;6988.671583;Muy bajo5;0.005709;0.324364
258;17088;BELALCAZAR;CALDAS;0.226112;Medio;15;11358.031932;Medio5;0.009253;0.571914
259;17174;CHINCHINÁ;CALDAS;0.328125;Alto;19;11007.442001;Alto4;0.008969;0.756246
260;17272;FILADELFIA;CALDAS;0.175595;Bajo;9;19347.986204;Bajo4;0.015773;0.617309
261;17380;LA DORADA;CALDAS;0.344862;Alto;20;55726.785346;Alto5;0.045474;1.754183
262;17433;MANZANARES;CALDAS;0.205618;Medio;13;19902.902160;Medio3;0.016229;0.679361
263;17444;MARQUETALIA;CALDAS;0.216933;Medio;14;9028.828567;Medio4;0.007364;0.526427
264;17446;MARULANDA;CALDAS;0.197367;Medio;12;37690.976594;Medio2;0.030732;1.186615
265;17486;NEIRA;CALDAS;0.178099;Bajo;10;36855.532984;Bajo5;0.030043;1.293105
266;17495;NORCASIA;CALDAS;0.145940;Muy bajo;3;22788.704421;Muy bajo3;0.018598;0.941740
