"familia","ficha","usada_por_el_pipeline","ruta"
"Fuerza laboral","Tasa de desocupación",TRUE,"00_Documentos/Fichas Tecnicas/Fuerza laboral/Tasa de desocupación.docx"
"Fuerza laboral","Tasa de informalidad",FALSE,"00_Documentos/Fichas Tecnicas/Fuerza laboral/Tasa de informalidad.docx"
"Fuerza laboral","Tasa de ocupación",TRUE,"00_Documentos/Fichas Tecnicas/Fuerza laboral/Tasa de ocupación.docx"
"Fuerza laboral","Tasa de subocupación",FALSE,"00_Documentos/Fichas Tecnicas/Fuerza laboral/Tasa de subocupación.docx"
"Fuerza laboral","Tasa Global de Participación",FALSE,"00_Documentos/Fichas Tecnicas/Fuerza laboral/Tasa Global de Participación.docx"
"Fuerza laboral","Trabajo infantil",FALSE,"00_Documentos/Fichas Tecnicas/Fuerza laboral/Trabajo infantil.docx"
"General ECV2023","1. Ficha técnica",FALSE,"00_Documentos/Fichas Tecnicas/General ECV2023/1. Ficha técnica.docx"
"Recreación, deporte y cultura","Porcentaje de personas inscritas en programas recreativos",FALSE,"00_Documentos/Fichas Tecnicas/Recreación, deporte y cultura/Porcentaje de personas inscritas en programas recreativos.docx"
"Recreación, deporte y cultura","Porcentaje de personas que asisten a eventos culturales",FALSE,"00_Documentos/Fichas Tecnicas/Recreación, deporte y cultura/Porcentaje de personas que asisten a eventos culturales.docx"
"Recreación, deporte y cultura","Porcentaje de personas que practican actividades deportivas",FALSE,"00_Documentos/Fichas Tecnicas/Recreación, deporte y cultura/Porcentaje de personas que practican actividades deportivas.docx"
"Seguridad alimentaria","Inseguridad alimentaria",FALSE,"00_Documentos/Fichas Tecnicas/Seguridad alimentaria/Inseguridad alimentaria.docx"
"Seguridad alimentaria","Percepción sobre la discriminación racial",FALSE,"00_Documentos/Fichas Tecnicas/Seguridad alimentaria/Percepción sobre la discriminación racial.docx"
"Seguridad social","Población afiliada al Sistema General de Seguridad Social en Salud",FALSE,"00_Documentos/Fichas Tecnicas/Seguridad social/Población afiliada al Sistema General de Seguridad Social en Salud.docx"
"Seguridad social","Población afiliada al Sistema General de Seguridad Social Integralcoregfuente",FALSE,"00_Documentos/Fichas Tecnicas/Seguridad social/Población afiliada al Sistema General de Seguridad Social Integralcoregfuente.docx"
"Seguridad y convivencia","Percepción de la seguridad e inseguridadfuente",FALSE,"00_Documentos/Fichas Tecnicas/Seguridad y convivencia/Percepción de la seguridad e inseguridadfuente.docx"
"Seguridad y convivencia","Tasa de delitos",FALSE,"00_Documentos/Fichas Tecnicas/Seguridad y convivencia/Tasa de delitos.docx"
"Vivienda","Cobertura residencial de gas",FALSE,"00_Documentos/Fichas Tecnicas/Vivienda/Cobertura residencial de gas.docx"
"Vivienda","Cobertura residencial de servicios públicos",FALSE,"00_Documentos/Fichas Tecnicas/Vivienda/Cobertura residencial de servicios públicos.docx"
"Vivienda","Cobertura residencial otros servicios",FALSE,"00_Documentos/Fichas Tecnicas/Vivienda/Cobertura residencial otros servicios.docx"
"Vivienda","Déficit cualitativo de vivienda1",TRUE,"00_Documentos/Fichas Tecnicas/Vivienda/Déficit cualitativo de vivienda1.docx"
"Vivienda","Déficit cuantitativo de vivienda1",TRUE,"00_Documentos/Fichas Tecnicas/Vivienda/Déficit cuantitativo de vivienda1.docx"
