"id_provincia","provincia","carpeta","n_municipios","subregion","area_km2","poblacion","pob_rural","envejecimiento","natalidad","dependencia","deficit_cuanti","deficit_cuali","acueducto","alcantarillado","internet","via_terciaria","gob_digital","imca","icm","nbi","ipm","informalidad","va_pc","dens_emp","rendimiento","pecuario","area_protegida","perdida_cobertura","irca","cobertura_neta","desercion","mortalidad_infantil","bajo_peso","subsidiado","homicidios","hurtos","victimas","desaparecidos","densidad","pct_rural","pct_protegida","victimas_pc"
1,"Agroindustrial del Occidente","Agroindustrial_Occidente",6,"OCCIDENTE",4703.180698,81100,49709,25.8194658390889,8.4773483730043,65.3374356499356,0.161138755234321,0.351829477358401,0.729220385096578,0.541580687245878,293.710029838676,0.152603774198529,50.3561934393297,30.9608567890198,42.3078209226972,0.19575711997716,0.227991029203696,0.76516617899517,11466397.4794206,15.5140834845305,11.8909655154429,125667,696.737003,0.0453333333333333,2.71666666666667,0.798901797367548,0.0416289956863179,28.4191829484902,0.0942289561724752,0.853593505425411,34.5252774352651,41.9235511713933,122667,1132,17.2436496081231,0.612934648581998,0.148141661513512,1512.54007398274
2,"Bioenergética del Norte de Antioquia","Bioenergetica_Norte",13,"NORTE",7549.579278,175488,95638,25.7972055824039,7.6106695153783,51.8113652279365,0.0500369608330257,0.311006145330612,0.861601998804225,0.649260872090988,274.165304182834,0.217167305948679,57.7067997362189,30.3800620793865,39.8717854555343,0.198454984503281,0.205578985177047,0.709969166613414,12537929.8189774,18.4855842577027,17.9684830700025,469301,1556.671909,0.0783076923076923,2.18461538461538,0.700541072075335,0.0344319728080684,6.05012964563526,0.117075551861405,0.756134183977082,111.688548504741,49.5760393873085,181813,1427,23.2447390163031,0.544983132749818,0.206193199869594,1036.04235047411
3,"Del Río Grande","Rio_Grande",5,"NORTE",1799.404612,101228,44160,25.9868131872283,8.76786595397339,46.417057129347,0.0146623334672611,0.244605825273826,0.872865501505784,0.742892305103691,727.322043984617,0.361586860431411,65.4544223983283,38.2222443669408,51.3083954590627,0.0719727914586562,0.12251020948514,0.521395793204897,27069088.7197973,32.6148871868146,27.5362661372378,1287137,247.437725,0.0606,5.38,0.935925417937125,0.0358155556723794,12.6742712294043,0.155938360025363,0.415474429364284,27.6603311336784,124.471490101553,18204,147,56.2563857650044,0.436242936736871,0.137510887406795,179.831667127672
4,"Turística y Agroecológica","Turistica_Agroecologica",7,"OCCIDENTE",1315.349228,66792,44052,32.8147459458113,7.26538912806343,54.5476344627485,0.0705981382863248,0.233398448747465,0.844541180846715,0.714804443273603,356.964821198859,0.375661153447804,51.147936416185,31.068388624218,48.9450304270051,0.114348494270437,0.0953492467380509,0.662616993225133,31750032.0194506,22.3257619881138,7.11323765794879,333275,83.39019,0.0361428571428571,6.72857142857143,0.802937376992075,0.0481529652529827,9.59232613908873,0.101936255405227,0.743304080828199,53.898670499461,139.238232123608,30216,143,50.778909948925,0.659540064678405,0.0633977564473851,452.389507725476
5,"Agua, Bosques y Turismo","Agua_Bosques_Turismo",12,"ORIENTE",3173.681451,224539,98805,31.3920887384398,9.1074722124282,52.1360820412306,0.0263896030553266,0.142564912076571,0.917728882412584,0.660195988930843,619.546080379612,0.377369022240852,65.2177727264301,38.2050130758763,50.0496085407215,0.106645141382425,0.163437596221789,0.689344193730833,19988351.0369876,25.1412307311694,18.9043336533918,267203,742.096599,0.0626666666666667,3.38333333333333,0.913632478587978,0.0338602061801994,5.63063063063063,0.112675159384533,0.580393416298675,32.9564129171324,134.497793256405,256993,1650,70.750326857552,0.440034915983415,0.233828319085449,1144.53613848819
6,"Cartama","Cartama",11,"SUROESTE",1595.6463,141347,71849,39.8011024208227,5.25739639632487,51.0989595523309,0.0420997187846812,0.218859227764668,0.923749024073154,0.731343591899337,385.303259690131,0.472718766221748,49.9053495576476,32.3701420057893,48.0305456215205,0.154756982539831,0.119653404805822,0.680078127995652,16958840.7347363,23.1015153089611,9.25396714483822,419812,202.986422,0.0596363636363636,4.95454545454546,0.685589778488239,0.0258980360812971,9.40438871473354,0.107456857802677,0.649191871024036,41.033767961117,84.1899721960848,30923,414,88.5829146471871,0.508316412799706,0.127212667368702,218.773656320969
7,"De la Paz","De_la_Paz",5,"ORIENTE",2583.380116,100399,51890,32.3763312178497,7.85126101120913,51.9337834636342,0.0767951242881889,0.295284358498368,0.83859601131632,0.613585296243557,333.489487338612,0.297480620140752,42.1046455209233,34.2403558642607,45.0394374134309,0.19230041094827,0.216716507726389,0.734704762306044,19093867.624597,16.5536637068376,13.1826844976539,143800,705.988287,0.0494,2.52,0.777178820043103,0.0362920204741379,9.6551724137931,0.11574669261081,0.672605352910573,44.8211635574059,68.7257841213558,110081,826,38.8634252381929,0.516837817109732,0.273280839558804,1096.4352234584
8,"San Juan","San_Juan",6,"SUROESTE",1390.393762,123978,61041,33.692033855277,7.19112177285784,50.5040034315127,0.0172973873218671,0.192373347906302,0.89884670026517,0.775242186880919,495.045731072585,0.504082818061293,58.8654238436461,33.7827557226825,45.3726806825797,0.125660404823002,0.173551714838475,0.624090477624702,13943026.0848353,27.722951577315,4.70945401448193,97885,498.199376,0.116,3.61666666666667,0.732256937932315,0.0472438744719372,9.88875154511743,0.11611214308714,0.712993043877083,132.281533820517,54.8484408524093,45805,541,89.167546193292,0.492353482069399,0.358315312982539,369.460710771266
9,"Minero Agroecológica","Minero_Agroecologica",5,"NORDESTE",5094.824984,117281,50479,22.8799350520946,13.112125077307,52.4626077431638,0.0959698026152148,0.322278045663464,0.884813560001895,0.673147759960812,382.535404400951,0.235218565539633,58.0746335265692,31.8175945369933,36.9715566356241,0.246637439251735,0.167859852926296,0.619089761002947,23351713.6712892,45.6676085996934,20.3048354804774,523204,3.748995,0.29,0.94,0.910522537808927,0.0583615025205951,13.1071703932151,0.100937065713061,0.736413043478261,68.2122423922033,94.6444863191821,86783,722,23.019632738772,0.430410722964504,0.000735843726089414,739.957878940323
10,"Penderisco y Sinifana","Penderisco_Sinifana",8,"SUROESTE",3836.052882,138517,80072,30.996812391666,8.62799275464691,51.9362186788155,0.0359848475391947,0.241181733379507,0.864872975661417,0.646235065252846,309.418905039566,0.200923434480585,59.0946402794115,31.9647740884193,44.9431857010169,0.139034796048649,0.202267919904803,0.62951903583742,16811759.9349107,18.9933853492359,7.45896527532367,338246,528.569775,0.074,18.65,0.749896195010624,0.0348708507122059,12.4095139607032,0.106517552086697,0.697427912950159,84.4661666077088,73.6371708887718,102638,627,36.1092519474814,0.578066230137817,0.137790012614326,740.977641733506
